f_mem,sigma_mem_y,sigma_mem,E_mem,sigma_edg,sigma_sup,nu_mem
0.5108110036866982,11290.102337953016,3437.3718801513014,674747.8389710432,353213.4967139179,425036.27302794287,0.4151461559763613
0.4359271154656863,11720.08550549406,3810.3825786928437,492955.0396266734,494751.82745280967,334417.8037667143,0.3948708050617971
0.22807788056381995,11685.15815532508,3935.661814307264,714297.8753585853,209910.22319042886,407568.47921091877,0.3859329565594478
0.6263983604849772,10782.172782683196,4336.455036984789,644438.2585584953,419563.5411630009,314665.92561789346,0.40552316560356677
0.35817323061907125,10967.870957810615,6856.810029429679,480004.47751860175,293556.4841864123,281136.0897594537,0.38257440834860407
0.22541634041947106,13299.313604044683,4184.120497639328,666996.68518089,239186.91487679133,400280.94722904696,0.40032757536350294
0.4165398825242878,9369.03750471683,4672.296668165782,512858.5938827509,317065.43570791156,337632.99170743785,0.41897373236298935
0.22506017311600124,11826.750658076995,3676.3975708594285,628910.0347807364,440689.88242634316,321912.0204303492,0.41820950944007185
0.5536878768759943,8431.192311605148,4725.65376939342,550736.4567874689,354612.2604153122,372865.13791904954,0.38861476166164854
0.4932879550693358,10958.95993259187,3937.471428258738,541573.2797717211,432004.20271037304,335650.0963349876,0.4115417179152309
0.33219677635824185,11393.063160057638,4902.875190780899,566829.9556528558,341631.3476951026,487761.1719502513,0.3974421816341253
0.38437698501641726,12640.957205938434,3893.754722642796,746402.9431517071,299825.96107917855,455858.98291126615,0.4025237246126316
0.4380752640760438,9072.991822804293,3424.7749737908557,586776.081189826,409480.3097049155,454125.47779215395,0.3915516864945839
0.4239554565487906,12099.28718855517,3602.4917660358615,713222.3011279586,368453.58373038867,509501.73710244783,0.4056907486852655
0.3517568941993011,12498.712852924344,3592.525363600998,595051.8602797865,412084.49476462585,529790.761778003,0.3959479654374449
0.43516859871974084,9738.413416322212,3319.38497739303,686604.1557378923,346671.913993762,262099.34881408274,0.38967754649287273
0.38524152554350055,11497.745971524582,4671.537164575047,706294.1046288498,429506.8923136837,381266.31792884925,0.4181826117805162
0.4054120715830352,11859.08958629473,3624.2893003089216,522424.6409278625,287730.80085428327,361219.50526396296,0.4195894449112946
0.21359169989714977,12420.163330464788,3164.9919101413766,537236.5080741214,397900.16422882484,298653.4550506617,0.39349591591429894
0.6896069369564723,11889.286645942097,4119.649061322929,721035.3937289945,460014.0161548327,490036.7119524436,0.4083926207288379
0.5011208350678966,9916.254464037665,4025.66558627024,682689.3225019688,369524.9939463865,506729.14504691266,0.40093731480888073
0.36779140766831375,7415.5280260748605,4660.534217134038,646793.3258630718,384891.7160554811,364589.07656555664,0.40052984329684654
